"","auc_cat","ppv_cat","npv_cat","sens_cat","spec_cat","mean_ppv_cat","mean_npv_cat","true_negative_cat","false_negative_cat","false_positive_cat","true_positive_cat","mean_sens_cat","mean_spec_cat","mean_npv_cat","med_true_pos","med_false_pos","med_true_negs","med_false_negs","mean_auc_cat"
"58",0.927566807313643,0.823529411764706,0.95,0.777777777777778,0.962025316455696,NA,NA,76,4,3,14,NA,NA,NA,NA,NA,NA,NA,NA
"59",0.918546365914788,0.818181818181818,0.96,0.857142857142857,0.947368421052632,NA,NA,72,3,4,18,NA,NA,NA,NA,NA,NA,NA,NA
"60",0.874429223744292,0.612903225806452,0.924242424242424,0.791666666666667,0.835616438356164,NA,NA,61,5,12,19,NA,NA,NA,NA,NA,NA,NA,NA
"61",0.929223744292238,0.724137931034483,0.955882352941177,0.875,0.89041095890411,NA,NA,65,3,8,21,NA,NA,NA,NA,NA,NA,NA,NA
"62",0.898110661268557,0.736842105263158,0.935897435897436,0.736842105263158,0.935897435897436,NA,NA,73,5,5,14,NA,NA,NA,NA,NA,NA,NA,NA
"63",0.906060606060606,0.791666666666667,0.958904109589041,0.863636363636364,0.933333333333333,NA,NA,70,3,5,19,NA,NA,NA,NA,NA,NA,NA,NA
"64",0.858441558441558,0.625,0.931506849315068,0.75,0.883116883116883,NA,NA,68,5,9,15,NA,NA,NA,NA,NA,NA,NA,NA
"65",0.939946018893387,0.64,0.958333333333333,0.842105263157895,0.884615384615385,NA,NA,69,3,9,16,NA,NA,NA,NA,NA,NA,NA,NA
"66",0.959915611814346,0.72,1,1,0.911392405063291,NA,NA,72,0,7,18,NA,NA,NA,NA,NA,NA,NA,NA
"67",0.941970310391363,0.727272727272727,0.96,0.842105263157895,0.923076923076923,NA,NA,72,3,6,16,NA,NA,NA,NA,NA,NA,NA,NA
"68",0.942207792207792,0.782608695652174,0.972972972972973,0.9,0.935064935064935,NA,NA,72,2,5,18,NA,NA,NA,NA,NA,NA,NA,NA
"69",0.944805194805194,0.818181818181818,0.973333333333333,0.9,0.948051948051948,NA,NA,73,2,4,18,NA,NA,NA,NA,NA,NA,NA,NA
"70",0.936969696969697,0.826086956521739,0.959459459459459,0.863636363636364,0.946666666666667,NA,NA,71,3,4,19,NA,NA,NA,NA,NA,NA,NA,NA
"71",0.892857142857142,0.72,0.972222222222222,0.9,0.909090909090909,NA,NA,70,2,7,18,NA,NA,NA,NA,NA,NA,NA,NA
"72",0.881818181818181,0.666666666666667,0.945205479452055,0.8,0.896103896103896,NA,NA,69,4,8,16,NA,NA,NA,NA,NA,NA,NA,NA
"73",0.890013495276653,0.636363636363636,0.933333333333333,0.736842105263158,0.897435897435897,NA,NA,70,5,8,14,NA,NA,NA,NA,NA,NA,NA,NA
"74",0.924426450742241,0.842105263157895,0.961538461538462,0.842105263157895,0.961538461538462,NA,NA,75,3,3,16,NA,NA,NA,NA,NA,NA,NA,NA
